Ticker
AAPL
MSFT
AMZN
GOOGL
TSLA
GOOG
FB
NVDA
BRK-B
UNH
JPM
JNJ
HD
PG
V
PFE
BAC
MA
DIS
AVGO
NFLX
ADBE
CSCO
TMO
ACN
XOM
CRM
ABT
COST
ABBV
PEP
CMCSA
KO
CVX
PYPL
LLY
VZ
NKE
INTC
DHR
QCOM
WMT
MCD
MRK
WFC
NEE
INTU
LOW
LIN
T
AMD
TXN
UNP
UPS
PM
AMAT
HON
ORCL
MS
MDT
BMY
SBUX
CVS
AMT
GS
BLK
NOW
ISRG
RTX
AMGN
SCHW
PLD
C
IBM
ZTS
ANTM
SPGI
TGT
BA
CAT
MU
GE
ADP
AXP
MMM
LRCX
BKNG
DE
COP
ADI
GILD
MDLZ
TJX
SYK
CCI
MRNA
MMC
MO
LMT
PNC
