Date,aapl,msft,amzn,googl,tsla,goog,fb,nvda,brkb,unh,jpm,jnj,hd,pg,v,pfe,bac,ma,dis,avgo,nflx,adbe,csco,tmo,acn,xom,crm,abt,cost,abbv,pep,cmcsa,ko,cvx,pypl,lly,vz,nke,intc,dhr,qcom,wmt,mcd,mrk,wfc,nee,intu,low,lin,t,amd,txn,unp,ups,pm,amat,hon,orcl,ms,mdt,bmy,sbux,cvs,amt,gs,blk,now,isrg,rtx,amgn,schw,pld,c,ibm,zts,antm,spgi,tgt,ba,cat,mu,ge,adp,axp,mmm,lrcx,bkng,de,cop,adi,gild,mdlz,tjx,syk,cci,mrna,mmc,mo,lmt,pnc
2021-01-04,128.45346069335938,215.4349822998047,3186.6298828125,1726.1300048828125,729.77001953125,1728.239990234375,268.94000244140625,130.99826049804688,228.4499969482422,343.63714599609375,121.15687561035156,151.67922973632812,256.9685974121094,132.97059631347656,216.07896423339844,35.15666198730469,29.3194522857666,348.8316955566406,177.67999267578125,410.1837158203125,522.8599853515625,485.3399963378906,42.510704040527344,470.61175537109375,251.92349243164062,38.66728210449219,220.30999755859375,106.64641571044922,376.0883483886719,98.71338653564453,139.25865173339844,49.8364372253418,51.14751052856445,79.65483093261719,231.9199981689453,162.3514404296875,55.629085540771484,139.0543975830078,49.06810760498047,222.54351806640625,147.04530334472656,144.23626708984375,204.37762451171875,74.54483032226562,29.16973876953125,72.38658142089844,370.1407775878906,157.59527587890625,255.07852172851562,19.178970336914062,92.30000305175781,159.46778869628906,198.2178192138672,159.19300842285156,77.43214416503906,86.5541000366211,203.33663940429688,62.55023193359375,66.27600860595703,113.57532501220703,59.448646545410156,102.2560806274414,67.89639282226562,215.34730529785156,258.902099609375,697.0758056640625,526.8300170898438,266.6666564941406,66.43978881835938,223.41619873046875,52.09926986694336,94.14755249023438,57.90189743041992,111.28599548339844,162.4326629638672,314.75848388671875,330.027587890625,174.4677734375,202.72000122070312,177.56112670898438,74.05000305175781,83.6060562133789,167.30816650390625,116.38768005371094,164.98751831054688,475.90887451171875,2164.080078125,264.7022399902344,38.08357620239258,144.7849578857422,58.81993103027344,57.32960891723633,65.5877456665039,236.65333557128906,150.46421813964844,111.7300033569336,111.42507934570312,38.011940002441406,332.22747802734375,144.45445251464844
2021-01-05,130.04161071777344,215.6427764892578,3218.510009765625,1740.050048828125,735.1099853515625,1740.9200439453125,270.9700012207031,133.90769958496094,227.47000122070312,339.0159912109375,121.81613159179688,153.46253967285156,259.0424499511719,133.8196258544922,212.8540802001953,35.519588470458984,29.544008255004883,344.79248046875,178.44000244140625,412.9618225097656,520.7999877929688,485.69000244140625,42.53004837036133,476.49664306640625,253.35768127441406,40.53076934814453,221.52000427246094,107.96592712402344,371.7254943847656,99.73413848876953,139.67372131347656,49.539085388183594,50.585243225097656,81.80817413330078,234.91000366210938,163.1558380126953,55.37385940551758,140.1759490966797,49.99672317504883,228.06651306152344,150.93678283691406,143.46849060058594,205.60260009765625,74.6737289428711,29.98491859436035,72.92298126220703,367.3226013183594,158.12591552734375,259.0799560546875,19.06170654296875,92.7699966430664,160.63758850097656,200.64903259277344,156.97711181640625,78.27772521972656,89.274169921875,203.83535766601562,61.77509689331055,67.4011459350586,114.48573303222656,59.6132926940918,102.59329986572266,68.35233306884766,216.435791015625,264.6956481933594,700.7631225585938,531.969970703125,268.3500061035156,67.4010009765625,224.5004425048828,52.10914611816406,94.29460144042969,59.403846740722656,113.2613754272461,163.56459045410156,311.3202209472656,325.2739562988281,177.1589813232422,211.6300048828125,179.0135955810547,77.26000213623047,86.00164031982422,166.8427734375,117.00885009765625,164.70913696289062,492.3658752441406,2188.070068359375,271.26934814453125,40.268306732177734,147.3728790283203,58.7122917175293,57.38899612426758,65.49939727783203,237.2869873046875,151.0563507080078,109.18000030517578,110.64958953857422,37.937477111816406,336.2279968261719,143.68931579589844
2021-01-06,125.66422271728516,210.05130004882812,3138.3798828125,1722.8800048828125,755.97998046875,1735.2900390625,263.30999755859375,126.0134506225586,230.27000427246094,353.2432861328125,127.5361099243164,154.90664672851562,260.5224304199219,135.22825622558594,210.97865295410156,35.21396255493164,31.3892879486084,344.9214782714844,179.1199951171875,410.4151916503906,500.489990234375,466.30999755859375,42.93620300292969,483.9674987792969,256.1277770996094,41.564998626708984,216.14999389648438,107.74112701416016,366.06658935546875,98.87258911132812,137.96517944335938,50.11396789550781,48.97597885131836,84.44109344482422,226.8300018310547,161.19387817382812,56.045005798339844,141.28759765625,50.480777740478516,235.62318420410156,149.70895385742188,144.36424255371094,205.1359405517578,75.85231018066406,32.106353759765625,76.4925765991211,359.4856262207031,160.2386016845703,267.5855407714844,19.433040618896484,90.33000183105469,161.43385314941406,204.84754943847656,156.51060485839844,78.38223266601562,90.49970245361328,207.551025390625,61.62736129760742,71.46519470214844,116.3554916381836,59.75857925415039,103.337158203125,70.38951110839844,210.728515625,278.97918701171875,720.7490844726562,507.25,264.2633361816406,68.23599243164062,229.91188049316406,56.691036224365234,92.05952453613281,62.82173538208008,116.08977508544922,165.9674835205078,324.38165283203125,325.6799621582031,185.55679321289062,211.02999877929688,188.9761199951172,77.11000061035156,90.71295928955078,166.25852966308594,121.33739471435547,167.21463012695312,494.29730224609375,2249.81005859375,287.1728210449219,41.87557601928711,148.03721618652344,60.62044143676758,57.28011703491211,68.37578582763672,240.0493621826172,146.99867248535156,116.26000213623047,111.41525268554688,38.55177688598633,335.495361328125,151.5827178955078
2021-01-07,129.95228576660156,216.02874755859375,3162.159912109375,1774.3399658203125,816.0399780273438,1787.25,268.739990234375,133.30084228515625,232.8800048828125,358.9066162109375,131.7242889404297,155.4300079345703,259.2469482421875,133.96435546875,212.15948486328125,35.39543151855469,32.08248519897461,347.6542053222656,178.5800018310547,427.711181640625,508.8900146484375,477.739990234375,43.47773361206055,499.0487365722656,258.5443115234375,41.89111328125,217.97999572753906,108.7869644165039,363.9890441894531,99.93079376220703,137.5211639404297,50.21308135986328,48.43308639526367,84.83602142333984,235.0399932861328,162.67515563964844,55.91889190673828,143.86817932128906,51.55757141113281,238.97283935546875,154.1747589111328,144.35440063476562,206.0886993408203,77.36235046386719,32.8331413269043,77.33132934570312,367.08367919921875,160.8674774169922,266.8168029785156,19.485157012939453,95.16000366210938,165.09075927734375,207.6986083984375,154.52796936035156,78.83828735351562,94.21613311767578,207.89328002929688,62.11982727050781,72.68730926513672,116.19886779785156,60.39781188964844,102.50403594970703,71.7767333984375,213.2879638671875,284.9388427734375,735.91015625,511.4100036621094,269.4033203125,67.75053405761719,230.67086791992188,58.32037353515625,93.44174194335938,63.56307601928711,115.82040405273438,165.8185577392578,333.3329772949219,325.8879699707031,187.69801330566406,212.7100067138672,189.33680725097656,79.11000061035156,89.99429321289062,167.19924926757812,120.37763214111328,162.92361450195312,512.1879272460938,2239.85009765625,296.4400329589844,43.020877838134766,154.29383850097656,61.17820739746094,57.17123794555664,68.6212158203125,241.3068084716797,147.98883056640625,115.08999633789062,111.25819396972656,38.88684844970703,330.21270751953125,153.9943389892578
2021-01-08,131.0739288330078,217.344970703125,3182.699951171875,1797.8299560546875,880.02001953125,1807.2099609375,267.57000732421875,132.62904357910156,234.02999877929688,357.2941589355469,131.86972045898438,155.1101837158203,262.0024108886719,133.90646362304688,213.78680419921875,35.462284088134766,31.760295867919922,351.6190185546875,178.69000244140625,429.8816223144531,510.3999938964844,485.1000061035156,43.57444763183594,510.9881286621094,259.48736572265625,42.35698318481445,222.0399932861328,109.0899658203125,365.9874572753906,100.45521545410156,139.17176818847656,51.085323333740234,49.518863677978516,85.64469909667969,242.4600067138672,163.24412536621094,55.22145462036133,145.2577362060547,51.02412033081055,242.74122619628906,155.10556030273438,144.33470153808594,209.87059020996094,76.45079803466797,32.5974235534668,79.1258773803711,373.4869689941406,162.1842041015625,266.50140380859375,19.350780487060547,94.58000183105469,168.25611877441406,213.6546173095703,153.93515014648438,78.94278717041016,95.21249389648438,205.37049865722656,62.4251594543457,72.98799896240234,117.18758392333984,60.523719787597656,104.80504608154297,72.6207275390625,217.89694213867188,283.40496826171875,741.823486328125,529.6400146484375,272.9166564941406,67.82819366455078,235.07688903808594,58.24137496948242,94.69651794433594,62.9372673034668,115.4073715209961,166.9207000732422,333.03656005859375,323.6894226074219,190.1534881591797,209.89999389648438,189.3660430908203,77.41999816894531,90.55326843261719,169.3777313232422,120.4963607788086,159.94775390625,499.41461181640625,2281.5400390625,290.68389892578125,43.020877838134766,155.41429138183594,61.68704605102539,57.59685516357422,68.93536376953125,241.2473907470703,149.5517120361328,112.75,111.39563751220703,38.71001052856445,323.9950866699219,153.20985412597656
2021-01-11,128.02662658691406,215.23704528808594,3114.2099609375,1756.2900390625,811.1900024414062,1766.719970703125,256.8399963378906,136.07293701171875,233.42999267578125,354.69842529296875,133.8377685546875,154.4608154296875,264.0860290527344,132.99957275390625,211.24658203125,36.07353973388672,32.28751754760742,346.0046691894531,179.08999633789062,429.9974060058594,499.1000061035156,474.239990234375,43.86455154418945,512.035400390625,255.7447509765625,43.642784118652344,218.25,108.33734893798828,360.1208190917969,102.09403228759766,137.1543731689453,51.06549835205078,48.66575622558594,86.13368225097656,237.5,182.40255737304688,54.89662170410156,145.9525146484375,50.91545104980469,243.36929321289062,154.5807647705078,144.984375,208.27615356445312,78.26469421386719,32.64653396606445,77.72145080566406,371.3724670410156,163.43215942382812,263.67279052734375,19.25075912475586,97.25,168.40357971191406,212.21929931640625,157.3075714111328,78.20171356201172,97.60377502441406,203.737548828125,62.08042907714844,73.77364349365234,116.00308227539062,62.92568588256836,103.7437973022461,73.79451751708984,210.75791931152344,287.06866455078125,751.8557739257812,523.0599975585938,271.2166748046875,67.76995849609375,234.17005920410156,59.49547576904297,92.79474639892578,63.96744918823242,115.45226287841797,168.19166564941406,334.7063293457031,316.1134338378906,191.80357360839844,206.7899932861328,188.9761199951172,78.66999816894531,91.431640625,166.86256408691406,119.78394317626953,158.58462524414062,514.198974609375,2221.27001953125,291.68280029296875,43.65608215332031,156.96109008789062,61.16842269897461,56.5080680847168,67.11920928955078,239.455322265625,148.5809783935547,117.26000213623047,110.52197265625,38.48662567138672,325.51812744140625,154.36241149902344
2021-01-12,127.84794616699219,212.7035369873047,3120.830078125,1737.4300537109375,849.4400024414062,1746.550048828125,251.08999633789062,134.70687866210938,233.02999877929688,351.3751525878906,135.94155883789062,153.25901794433594,269.0516662597656,132.2277069091797,207.2476806640625,35.510040283203125,32.86355972290039,340.7579650878906,175.99000549316406,433.4990234375,494.25,471.6499938964844,44.28037643432617,497.4927673339844,253.8292236328125,44.61180114746094,215.52000427246094,106.38249969482422,360.3088073730469,102.80575561523438,136.51730346679688,49.568817138671875,48.57850646972656,87.76982879638672,237.63999938964844,175.3983917236328,54.70554733276367,143.9674530029297,52.5948486328125,239.9498291015625,152.93701171875,146.63809204101562,205.7192840576172,76.50604248046875,33.33403396606445,77.77997589111328,364.7198181152344,166.0557861328125,262.7759094238281,19.170743942260742,95.36000061035156,169.3767852783203,213.47885131835938,159.29989624023438,77.02360534667969,99.64632415771484,204.24603271484375,61.47962188720703,73.52146911621094,114.8185806274414,63.37120819091797,101.9783706665039,73.97884368896484,210.7481231689453,295.2558288574219,762.7018432617188,513.2100219726562,262.80999755859375,69.43992614746094,233.20408630371094,60.433570861816406,92.84375762939453,64.18889617919922,116.01793670654297,164.94476318359375,330.7641906738281,312.8056945800781,195.5555877685547,208.41000366210938,192.5634002685547,79.45999908447266,94.06678771972656,167.4071807861328,120.33804321289062,159.84217834472656,534.0708618164062,2196.340087890625,298.7740783691406,45.638694763183594,157.74440002441406,60.747650146484375,56.73572540283203,67.14866638183594,236.84144592285156,146.05706787109375,124.55000305175781,110.9244384765625,38.09571075439453,329.5379638671875,156.63839721679688
2021-01-13,129.92250061035156,214.09893798828125,3165.889892578125,1747.25,854.4099731445312,1754.4000244140625,251.63999938964844,135.1763916015625,234.50999450683594,349.084228515625,136.06759643554688,153.0264129638672,266.83172607421875,132.43026733398438,207.73391723632812,35.20441436767578,32.66828918457031,344.1464538574219,176.1199951171875,435.2546691894531,507.7900085449219,472.04998779296875,43.86455154418945,500.42523193359375,253.39547729492188,45.11493682861328,218.17999267578125,109.6177749633789,363.0293884277344,105.3061294555664,137.63699340820312,49.71749496459961,48.626976013183594,87.6852035522461,244.89999389648438,181.970947265625,54.51446533203125,141.97244262695312,56.25989532470703,239.1024627685547,155.87791442871094,145.14187622070312,206.19564819335938,75.81548309326172,33.196533203125,79.81832885742188,364.0116271972656,166.8812255859375,263.8699035644531,19.077388763427734,91.77999877929688,168.5018768310547,211.4967803955078,158.5223846435547,77.15662384033203,97.69344329833984,202.42727661132812,61.12504577636719,73.28868103027344,116.21844482421875,62.693233489990234,102.04779815673828,72.67892456054688,212.2681121826172,295.9690246582031,764.6729736328125,521.7100219726562,270.48333740234375,68.44959259033203,234.33763122558594,58.76473617553711,93.52996826171875,64.37181854248047,113.96173858642578,160.80429077148438,326.4663391113281,309.0325622558594,193.31614685058594,207.2100067138672,190.95498657226562,79.91000366210938,92.38987731933594,163.0502166748047,121.10982513427734,159.6213836669922,524.1748046875,2182.419921875,297.91363525390625,45.26334762573242,157.1395721435547,60.219242095947266,56.785213470458984,66.88359832763672,240.7919464111328,148.2218017578125,124.05999755859375,111.39563751220703,38.24462890625,333.04681396484375,154.09120178222656
2021-01-14,127.95716857910156,210.81333923339844,3127.469970703125,1730.9200439453125,845.0,1740.1800537109375,245.63999938964844,131.8648681640625,235.02000427246094,344.6498718261719,136.86256408691406,155.70138549804688,261.27215576171875,131.02166748046875,200.30172729492188,35.0993537902832,33.185752868652344,324.8687438964844,173.42999267578125,436.0841979980469,500.8599853515625,463.2699890136719,43.661476135253906,495.63751220703125,251.34530639648438,46.87592697143555,215.60000610351562,107.98872375488281,358.4785461425781,105.76089477539062,136.83584594726562,49.14261245727539,47.725399017333984,89.79153442382812,242.05999755859375,183.1383056640625,54.495361328125,140.2454376220703,58.532020568847656,235.9720916748047,159.27432250976562,144.66940307617188,202.70541381835938,75.65894317626953,34.12957763671875,80.49129486083984,364.5602111816406,167.43150329589844,259.88812255859375,19.530820846557617,90.79000091552734,168.7967987060547,211.05738830566406,158.87228393554688,77.12812042236328,105.41526794433594,203.9820098876953,60.671974182128906,74.17133331298828,115.28845977783203,63.942630767822266,100.98655700683594,72.80503845214844,210.8265838623047,300.78564453125,729.1239013671875,514.3400268554688,265.71331787109375,68.87679290771484,238.20152282714844,58.58699417114258,93.61819458007812,66.44181060791016,115.80244445800781,159.82130432128906,318.6512145996094,303.2192687988281,194.48497009277344,209.91000366210938,192.42694091796875,81.30000305175781,93.10855102539062,160.32708740234375,122.47527313232422,159.74618530273438,555.3265380859375,2182.590087890625,299.5257263183594,46.07179641723633,158.1112823486328,61.06078338623047,56.725830078125,66.7756118774414,239.73252868652344,150.23123168945312,129.72000122070312,109.93299102783203,38.263240814208984,334.9266357421875,156.41563415527344
2021-01-15,126.2002182006836,210.44715881347656,3104.25,1727.6199951171875,826.1599731445312,1736.18994140625,251.36000061035156,128.46090698242188,233.49000549316406,345.4069519042969,134.40975952148438,155.3621826171875,268.33123779296875,130.0375518798828,200.0338134765625,35.051597595214844,32.22893524169922,321.221923828125,171.44000244140625,430.08416748046875,497.9800109863281,458.0799865722656,43.93224334716797,501.8515930175781,250.01466369628906,44.62111282348633,213.13999938964844,109.22523498535156,358.29058837890625,104.70925903320312,136.4786834716797,48.260459899902344,47.21159744262695,86.59442901611328,239.7899932861328,187.1406707763672,54.820194244384766,139.6697540283203,56.882259368896484,236.02195739746094,155.5511474609375,142.37586975097656,204.07623291015625,76.7730712890625,31.467960357666016,80.01339721679688,370.0459289550781,168.36500549316406,254.36888122558594,19.450803756713867,88.20999908447266,166.31954956054688,211.4870147705078,154.43080139160156,76.90010070800781,102.76493072509766,201.4005889892578,60.84925842285156,72.9782943725586,114.34869384765625,64.44628143310547,101.49237823486328,73.97884368896484,215.6316680908203,294.0834655761719,713.688232421875,513.760009765625,259.47332763671875,67.18739318847656,241.97671508789062,58.01425552368164,95.75523376464844,61.83969497680664,115.28166198730469,160.4170379638672,322.5044860839844,302.9915771484375,191.33212280273438,204.32000732421875,189.71697998046875,80.72000122070312,90.4734115600586,159.54481506347656,120.86245727539062,158.9206085205078,545.1119384765625,2119.22998046875,292.157470703125,43.42509460449219,156.41574096679688,61.970821380615234,56.63674545288086,67.20755767822266,239.5939483642578,152.6483612060547,129.64999389648438,109.78575134277344,38.347015380859375,334.7626953125,150.9822998046875
